dataset, model_type, algorithm, D1_size, D2_size, D1_zeros, D2_zeros, D1_pred_zeros, D2_pred_zeros, M1_acc, M1_test_acc, M2_acc, M2_test_acc, M1_acc_on_D2, M1_acc_on_D2_test, M2_acc_on_D1, M2_acc_on_D1_test, D1_rec, D1_norec, cf1_inv_by_M2, D2_rec, D2_norec, cf2_inv_by_M1, M1_crossacc, M2_crossacc, comment
temporal, MLPClassifier, ActionableRecourse, 8395, 8595, 5203, 5430, 5250.0, 5407.0, 0.9936867182846932, 0.9881974248927039, 0.9945317044793485, 0.9916142557651991, 0.9930191972076788, 0.9905660377358491, 0.9922572960095295, 0.990343347639485, 1817, 3433, 0.0, 2891, 2516, 7.575233483223798, 0.9947583547555239, 0.9956953732030215, COMARCH: [20, 10, 10, 10, 5]
temporal, MLPClassifier, Counterfactuals, 8395, 8595, 5203, 5430, 5250.0, 5407.0, 0.9936867182846932, 0.9881974248927039, 0.9945317044793485, 0.9916142557651991, 0.9930191972076788, 0.9905660377358491, 0.9922572960095295, 0.990343347639485, 763, 4487, 0.1310615989515096, 5392, 15, 86.9807121661721, 0.9947583547555239, 0.9956953732030215, COMARCH: [20, 10, 10, 10, 5]
geospatial, LogisticRegression, ActionableRecourse, 129, 122, 46, 27, 47.0, 25.0, 0.9147286821705426, 0.84, 0.9672131147540983, 0.86, 0.9016393442622951, 0.88, 0.8217054263565892, 0.76, 47, 0, 76.59574468085107, 24, 1, 70.83333333333333, 0.8841575091575091, 0.926048951048951, COM
geospatial, LogisticRegression, Counterfactuals, 129, 122, 46, 27, 47.0, 25.0, 0.9147286821705426, 0.84, 0.9672131147540983, 0.86, 0.9016393442622951, 0.88, 0.8217054263565892, 0.76, 47, 0, 65.95744680851064, 0, 25, nan, 0.8841575091575091, 0.926048951048951, COM
geospatial, RandomForestClassifier, ActionableRecourse, 129, 122, 46, 27, 46.0, 27.0, 1.0, 0.82, 1.0, 0.94, 0.9098360655737705, 0.9, 0.8914728682170543, 0.82, 0, 46, nan, 0, 27, nan, 0.8853479853479852, 0.9203962703962704, COM
geospatial, RandomForestClassifier, Counterfactuals, 129, 122, 46, 27, 46.0, 27.0, 1.0, 0.82, 1.0, 0.94, 0.9098360655737705, 0.9, 0.8914728682170543, 0.82, 17, 29, 76.47058823529412, 14, 13, 21.42857142857143, 0.8853479853479852, 0.9203962703962704, COM
geospatial, XGBClassifier, ActionableRecourse, 129, 122, 46, 27, 46.0, 26.0, 1.0, 0.9, 0.9918032786885246, 0.92, 0.8934426229508197, 0.94, 0.8062015503875969, 0.78, 0, 46, nan, 1, 25, 0.0, 0.8538461538461538, 0.9274475524475525, COM
geospatial, XGBClassifier, Counterfactuals, 129, 122, 46, 27, 46.0, 26.0, 1.0, 0.9, 0.9918032786885246, 0.92, 0.8934426229508197, 0.94, 0.8062015503875969, 0.78, 14, 32, 57.14285714285714, 4, 22, 50.0, 0.8538461538461538, 0.9274475524475525, COM
geospatial, LinearSVC, ActionableRecourse, 129, 122, 46, 27, 54.0, 39.0, 0.875968992248062, 0.84, 0.8852459016393442, 0.84, 0.8278688524590164, 0.9, 0.7751937984496124, 0.72, 40, 14, 90.0, 39, 0, 82.05128205128204, 0.8003663003663004, 0.912062937062937, COM
geospatial, LinearSVC, Counterfactuals, 129, 122, 46, 27, 54.0, 39.0, 0.875968992248062, 0.84, 0.8852459016393442, 0.84, 0.8278688524590164, 0.9, 0.7751937984496124, 0.72, 54, 0, 100.0, 39, 0, 0.0, 0.8003663003663004, 0.912062937062937, COM
geospatial, MLPClassifier, ActionableRecourse, 129, 122, 46, 27, 46.0, 20.0, 0.875968992248062, 0.74, 0.8934426229508197, 0.86, 0.860655737704918, 0.86, 0.6976744186046512, 0.62, 0, 46, nan, 1, 19, 0.0, 0.8277472527472527, 0.8722027972027971, COMARCH: [10, 10, 5]
geospatial, MLPClassifier, Counterfactuals, 129, 122, 46, 27, 46.0, 20.0, 0.875968992248062, 0.74, 0.8934426229508197, 0.86, 0.860655737704918, 0.86, 0.6976744186046512, 0.62, 2, 44, 50.0, 9, 11, 11.111111111111116, 0.8277472527472527, 0.8722027972027971, COMARCH: [10, 10, 5]
geospatial, MLPClassifier, ActionableRecourse, 129, 122, 46, 27, 47.0, 21.0, 0.9147286821705426, 0.76, 0.9344262295081968, 0.9, 0.860655737704918, 0.86, 0.751937984496124, 0.7, 0, 47, nan, 0, 21, nan, 0.8189560439560439, 0.9273310023310023, COMARCH: [20, 10, 10, 10, 5]
